role,participant_id,theme,quote
student,SPR-S01,importance of transparency and referencing AI,"I really liked the, as I mentioned before, the referencing part."
student,SPR-S01,importance of transparency and referencing AI,I think transparency is a really important thing with generative AI.
student,SPR-S01,importance of transparency and referencing AI,it's also important that you learn how to reference it.
student,SPR-S01,desire for consistent and faculty-specific AI policies,"I think the policies are inconsistent, or at least there's no set or based framework"
student,SPR-S01,desire for consistent and faculty-specific AI policies,"I think if there was a general, wide, you know, policy when it comes to AI, that would be a lot more powerful and important"
student,SPR-S01,desire for consistent and faculty-specific AI policies,"But then also probably faculty-specific. I think that will… that will, yield, greater clarity"
student,SPR-S01,concerns about over-reliance and loss of critical thinking,"I think there's a risk of, yeah, I guess just a lack of thought. People not using their brain or critically thinking"
student,SPR-S01,degree-specific strengths and weaknesses of AI,each degree will… will have AI's capabilities drawn in different ways
student,SPR-S01,degree-specific strengths and weaknesses of AI,"maybe a criminology degree or a social science degree, where there's a lot of critical analysis and AI is quite weak"
student,SPR-S01,integration of AI into coursework as a comparative tool,integrating AI tools into coursework is very powerful
student,SPR-S01,integration of AI into coursework as a comparative tool,you might as well incorporate it into natural coursework
student,SPR-S01,integration of AI into coursework as a comparative tool,"use AI to do one portion of a task, and then we need to do it ourselves, and then we can compare"
student,SPR-S02,speed and efficiency,it's just faster and more efficient
student,SPR-S02,speed and efficiency,it really makes it easy
student,SPR-S02,use as a tool not a replacement,you should only use it as a tool
student,SPR-S02,use as a tool not a replacement,"you should use it as, like, a tool, and not as something that you should just, like, cheat"
student,SPR-S02,use as a tool not a replacement,I just reckon there should always be framed as a tool and nothing more
student,SPR-S02,concerns about accuracy,"it can sometimes give out, like, wrong or misinformation in a way"
student,SPR-S02,concerns about accuracy,"just… I don't know, I'd make sure to double-check everything. Just because you can never know how truly reliable it is"
student,SPR-S02,concerns about accuracy,"I've noticed it's been unreliable with, like, statistics, for example"
student,SPR-S02,systematic verification of statistics and sources,"just double-check everything. If it gives me a statistic, or like, it doesn't sound right, or something, click on the link"
student,SPR-S02,systematic verification of statistics and sources,"you just double-check links. If it gives you a statistic, you double-check that"
student,SPR-S02,systematic verification of statistics and sources,"I'm always quick to question whether or not it's trying to, just make up a statistic, or whether or not this is true or false"
student,SPR-S02,over-reliance risk and student laziness,I do think it makes people a lot lazier.
student,SPR-S02,over-reliance risk and student laziness,you're not gonna learn anything if all you do is just use AI for every little bit of your assignments or assessment.
student,SPR-S02,preference for ChatGPT over Copilot,"I just…as an AI model, I'd personally prefer, like, ChatGPT"
student,SPR-S02,preference for ChatGPT over Copilot,"I think, like, ChatGPT is way more helpful than Copilot, for example."
student,SPR-S02,preference for ChatGPT over Copilot,Copilot generally doesn't give me the output I desire as much.
student,SPR-S02,clear institutional guidance and appendices,"Most subjects, for example, give a clear outline of how they want you to use AI and engage with it."
student,SPR-S02,clear institutional guidance and appendices,"they have the appendix or the appendices at the bottom of the page. Paste what you put in here, you should only use it as a tool."
student,SPR-S02,clear institutional guidance and appendices,"I do like having the appendix on the bottom of every worksheet that says, oh, just paste how you used AI in here."
student,SPR-S02,value of AI-integrated activities for comparison and reflection,"we had to make a diagram, and then we had to make, have Copilot generate the same diagram, but then we also had to make a comparison between the two"
student,SPR-S02,value of AI-integrated activities for comparison and reflection,"write your own script, and then you have AI write up a script, see if you missed anything, compare the two"
student,SPR-S03,use of AI for summarising and clarifying complex material,"first feeding the dialogue, or the entire narrative of the case study, into the LLM. And then saying, hey, can you guys just compress this?"
student,SPR-S03,use of AI for summarising and clarifying complex material,especially if you're just getting it to either condense chunks of information that you are feeding it.
student,SPR-S03,AI as a comparative tool after completing own work,"they're like, hey, compare your own output to that of Gen AI's"
student,SPR-S03,AI as a comparative tool after completing own work,it should only really be used As a comparative tool. And only after you've done the work
student,SPR-S03,time-consuming but deliberate verification and cross-referencing,"after doing all that research and trying to find it for myself without the help of LLMs, and I couldn't find it, I just had to scrap the idea"
student,SPR-S03,over-reliance risk and loss of independent problem solving,"if I know anyone that has used generative AI tools as a first line of…I guess, work… completing their work, it usually ends really badly"
student,SPR-S03,over-reliance risk and loss of independent problem solving,"they don't even attempt to do the task at hand. Instead, they just get AI to do it for them"
student,SPR-S03,positive impact of subject design on ethical AI use,"this unit that I just took, BRM, it is probably the only subject that has helped me make more ethical decisions when it comes to generative AI"
student,SPR-S03,positive impact of subject design on ethical AI use,"they're really trying to, you know, I guess, maxim sense into students and say, hey, you can't really trust it for everything"
student,SPR-S03,positive impact of subject design on ethical AI use,"I feel like…from that perspective, it's really good that you guys are actually addressing a core issue of ethics, and it's sustainable usage"
student,SPR-S03,desire for clearer guidance on acceptable extent of AI use,The one unclear aspect of its usage that I don't know myself is how much can you use it?
student,SPR-S03,desire for clearer guidance on acceptable extent of AI use,can I get it to do my entire task?
student,SPR-S03,desire for clearer guidance on acceptable extent of AI use,"it's clear as to how you should use it, but it's not clear as to how much you should be using it."
student,SPR-S03,trust in AI for learning but not for final judgment,I think integrating it in the sense where you're using it as a fact-checker rather than a method to actually complete your work is really good.
student,SPR-S03,trust in AI for learning but not for final judgment,"going forward, it should only really be used As a comparative tool. And only after you've done the work"
student,SPR-S03,trust in AI for learning but not for final judgment,"even then, I wouldn't allow it to make the final judgment."
tutor,AUT-P01,assessment integrity,"we make sure that whether they understand or not. So the 70%, I think element of the my subject is about oral presentation. We just stop them for cheating."
tutor,AUT-P01,assessment integrity,"I should make it more diversify that, yeah, they cannot use it."
tutor,AUT-P01,assessment integrity,design an assignment that there is a small room for using language model in a unethical way.
tutor,AUT-P01,assignment redesign to limit unethical AI use,design an assignment that using generative AI doesn't help them to complete that assignments
tutor,AUT-P01,assignment redesign to limit unethical AI use,"70%, I think element of the my subject is about oral presentation. We just stop them for cheating"
tutor,AUT-P01,assignment redesign to limit unethical AI use,design an assignment that there is a small room for using language model in a unethical way
tutor,AUT-P01,student over-reliance,maybe the life got become busy or they become lazy
tutor,AUT-P01,student over-reliance,"I feel that, for example, my assignment, the last assignment is about data analysis and I feel that some of them they're using ChatGPT to coming up with their assessment"
tutor,AUT-P01,student over-reliance,"they should use it to improve their idea, make them more creative rather than just doing for copying the assignment"
tutor,AUT-P01,superficial AI use and inaccurate outputs,"I feel that some of them they're using ChatGPT to coming up with their assessment, which for sure the ChatGPT answer is not 100% accurate or comprehensive."
tutor,AUT-P01,superficial AI use and inaccurate outputs,"sometimes I saw with some students like a HDR student, that when we are asking some research question or research task…just get some boring stuff from generative AI."
tutor,AUT-P01,superficial AI use and inaccurate outputs,"people coming up with a boring, repeated, repeated the stuff or general knowledge from language model, which which is not useful."
tutor,AUT-P01,need for staff training and practical workshops,There's I think I need myself. I need some specific training
tutor,AUT-P01,need for staff training and practical workshops,"we need very direct guided tutorial, to tell them how they can use it"
tutor,AUT-P01,need for staff training and practical workshops,"prefer not like a boring workshop. Just very, you know, very effective practical workshop with lots of nice example"
tutor,AUT-P01,desire for university-provided examples and resources,"Myself, I think that I need, I need lots of example."
tutor,AUT-P01,desire for university-provided examples and resources,"So as a UTS, if the UTS can provide that database would be interesting."
tutor,AUT-P01,skepticism about effectiveness of student education alone,"I'm not sure to what really, whether they are those education can be useful."
tutor,AUT-P01,skepticism about effectiveness of student education alone,"Education would be nice, but I'm not sure if that's effective."
tutor,AUT-P01,skepticism about effectiveness of student education alone,I think that we should stop and we should minimize the way they can use the generative AI in unethical fashion.
tutor,AUT-P01,oral presentations as an authenticity check,"70%, I think element of the my subject is about oral presentation. We just stop them for cheating"
tutor,AUT-P01,oral presentations as an authenticity check,"One way is, for example, beating generative. AI, but it needs again oral presentation"
tutor,AUT-P02,student over-reliance,these are my concerns about the over reliance of the students on the output of ChatGPT
tutor,AUT-P02,student over-reliance,over-reliance is one very serious concern…
tutor,AUT-P02,student over-reliance,ChatGPT make a student week in their engagement
tutor,AUT-P02,assessment integrity,we will have some tools that check the text and will tell us how much is it generated by generative AI tool
tutor,AUT-P02,assessment integrity,we should ask them to mention everything about how they use generative for each assessment
tutor,AUT-P02,assessment integrity,maybe we should ask a students. And also we have a tool that check the assignments that if it's generated
tutor,AUT-P02,need for AI-use disclosure and transparency,I think we should ask them to mention everything about how they use generative for each assessment.
tutor,AUT-P02,need for AI-use disclosure and transparency,"we put something in our assessment, for example, a part or section that students, for example, acknowledge about the application of generative AI tools and explain how they use"
tutor,AUT-P02,need for AI-use disclosure and transparency,maybe we ask students for all assignments to mention the role of generative AI in their outputs and results.
tutor,AUT-P02,shift toward oral and process-focused assessment,"Yeah, oral activities also can be another solution that you can students ask the students to generate something and present in the class."
tutor,AUT-P02,shift toward oral and process-focused assessment,"Because of that, I try to ask for some verbal and oral presentations instead of, for example, writing something in the class."
tutor,AUT-P02,shift toward oral and process-focused assessment,"instead of, for example, submit submitting or uploading their final results…we can find also see the process they use to analyze this data."
tutor,AUT-P02,lack of institutional guidelines and training,I'm not sure if we have some guidelines for that
tutor,AUT-P02,lack of institutional guidelines and training,"there is no guideline that we can say. For example, if you read this guideline, you will take everything"
tutor,AUT-P02,lack of institutional guidelines and training,"No, because, I started my casual teaching..one, I think in February 2023. So I have no special training on the using of these generative AI tools at UTS"
tutor,AUT-P02,concerns about AI accuracy and trust,"it may help students to know the accuracy of the ChatGPT outputs and also they can, how much they can trust on ChatGPT"
tutor,AUT-P02,concerns about AI accuracy and trust,in some cases I have seen that the output of ChatGPT is not accurate enough
tutor,AUT-P02,concerns about AI accuracy and trust,Trust is the 1st one
tutor,AUT-P02,developing students’ critical evaluation of AI outputs,"ask students, maybe, to compare their findings based on their own knowledge, with the ChatGPT or generative AI"
tutor,AUT-P02,developing students’ critical evaluation of AI outputs,"then they in the long term, I think they can understand what's the strength and what's the weakness of the generative AI"
tutor,AUT-P02,developing students’ critical evaluation of AI outputs,"we train them for evaluating the outputs first, t and maybe prepare a report for the their evaluation of the generative AI outputs"
tutor,AUT-P03,assessment integrity,"we have final exam, and it's open case exam, most of the students they use GenAI without any monitoring"
tutor,AUT-P03,assessment integrity,"if you use Gen AI, please acknowledge it. This is a very general sentence, and nobody do it"
tutor,AUT-P03,need for explicit AI guidelines and expectations,"I rarely receive emails regarding how it can be used, how…all what we receive is just general"
tutor,AUT-P03,need for explicit AI guidelines and expectations,I've never have received any any workshop from the school or faculty regarding this.
tutor,AUT-P03,need for explicit AI guidelines and expectations,"the subject coordinator can put this information in a special page in canvas. Some of them they didn’t, some of them, they are doing it so there is no consistency"
tutor,AUT-P03,student over-reliance on AI in exams,"when we have final exam, and it's open case exam, most of the students they use GenAI without any monitoring"
tutor,AUT-P03,student over-reliance on AI in exams,"obviously, when it's ChatGPT, I realize, see, there is no evidence. Nobody will tell you that this is ChatGPT, but all the answers are similar"
tutor,AUT-P03,student over-reliance on AI in exams,"they got 0 in quiz one and they got one in quiz 2 so suddenly, they give you 100% perfect answers"
tutor,AUT-P03,use of AI for engagement and idea generation,"we asked the students, for example, to use Gen AI, how it can be used, you know, to get some ideas"
tutor,AUT-P03,importance of reflective reporting on AI use,we need to allocate 10% mark for providing a reflection how Gen. AI was used
tutor,AUT-P03,importance of reflective reporting on AI use,add a reflection to the to the exam reflection about GenAI
tutor,AUT-P03,importance of reflective reporting on AI use,if we clearly ask the student to provide a section that how ChatGPT or GenAI was used in this exam it would be very beneficial
tutor,AUT-P03,insufficient institutional training and resources,"Minimum, or if it was, it was very general…not not specifically for the school"
tutor,AUT-P03,insufficient institutional training and resources,"I rarely receive emails regarding how it can be used, how…all what we receive is just general"
tutor,AUT-P03,insufficient institutional training and resources,I've never have received any any workshop from the school or faculty regarding this
tutor,AUT-P03,desire for staff access to paid AI tools,I think the University should provide us with the paid version of ChatGPT or Gen AI.
tutor,AUT-P03,desire for staff access to paid AI tools,it's a good idea if the university can provide us with the paid version of ChatGPT orGenAI
tutor,AUT-P03,desire for staff access to paid AI tools,"we need to walk in the same time simultaneously with the student. The student cannot be, they shouldn't be upfront of us"
tutor,AUT-P03,designing assessments beyond simple text generation,I don't ask the student just to give the answers by in a text format.
tutor,AUT-P03,designing assessments beyond simple text generation,"I asked them to generate some figures, some diagrams."
tutor,AUT-P04,assessment integrity,you need to be aware of your academic integrity and the fact that you cannot copy paste ideas
tutor,AUT-P04,assessment integrity,we have this thing that they need to really disclaimer that if they have used any GenAI
tutor,AUT-P04,assessment integrity,we reported them under the rest is with the integrity team
tutor,AUT-P04,student over-reliance,whenever you give any activity to the students like the first go to would be Gen AI
tutor,AUT-P04,student over-reliance,"I believe a lot of responses they produce… I mean, I even like I can give you this example"
tutor,AUT-P04,cautious use for feedback and ideas,"it's a good tool, why not.. I'm using it as well, but use it, but not for writing up your research. Don't rely on it 100%"
tutor,AUT-P04,need for staff training on AI tools,"perhaps trainings, perhaps... Yeah. I mean, we already doing, we've already actually at sort of university level…we've started implementing and also embedding those AI sections"
tutor,AUT-P04,need for staff training on AI tools,"perhaps like could be good, perhaps if we have some trainings around.. I don't know what is available, what can be done"
tutor,AUT-P04,need for staff training on AI tools,"to perhaps the training could be around what sort of AI tools can be used, and how you can sort of like implement like this, these AIs into your teaching"
tutor,AUT-P04,institutional guidelines and disclaimers,it's always now part of every subject outline
tutor,AUT-P04,institutional guidelines and disclaimers,"in the course content and subject outlines we have, and for each assignment we also have a section about AI"
tutor,AUT-P04,institutional guidelines and disclaimers,"we have this thing that they need to really disclaimer that if they have used any GenAI, they need to really provide screenshots"
tutor,AUT-P04,difficulty detecting AI use at scale,I'm sure that the students they use it. Some might be even sort of more successful than the others to use it and get away with it.
tutor,AUT-P04,difficulty detecting AI use at scale,"these days, I mean, it's very hard to tell, like I mean, especially when it comes to marking assignments"
tutor,AUT-P04,difficulty detecting AI use at scale,"how to really detect a hundred percent certainty where everybody's using it, I guess, like we just need to accept it as a fact"
tutor,AUT-P04,positive impact on engagement when scaffolded,it came up with a very great like I mean great scaffolding and what not
tutor,AUT-P04,positive impact on engagement when scaffolded,I could tell right away like they showed more interest in this subject
tutor,AUT-P04,positive impact on engagement when scaffolded,I guess it can be a great tool if you know how to use it for educational purposes
tutor,AUT-P04,cross-institutional differences in AI policy enforcement,"I also work at UNSW, so we've had some sort of trainings and meetings and sessions around AI there as well. Maybe more than UTS, definitely."
tutor,AUT-P04,cross-institutional differences in AI policy enforcement,we do have that at UTS as well. But I'm not sure if…I guess UNSW is a bit stricter when it comes to to that.
tutor,AUT-P04,cross-institutional differences in AI policy enforcement,we had instances when we reported them where they got really actually detected by…not again at UTS but at UNSW
tutor,SPR-P01,institutional AI infrastructure and governance,"UTS have to invest on that particular initiative and start creating those machine learning stuff and, coding stuff just focus on assessment and learning activities"
tutor,SPR-P01,institutional AI infrastructure and governance,maybe just put up that from those ethical guidance at the beginning
tutor,SPR-P01,institutional AI infrastructure and governance,"from governance perspective is how are we treating that from compliance and regulations, from academic perspective, and also from a student perspective"
tutor,SPR-P01,student over-reliance and reduced effort,I think the students are just getting a bit lazy sometimes.
tutor,SPR-P01,student over-reliance and reduced effort,"they can think, hey, GenAI can solve everything"
tutor,SPR-P01,plagiarism and lack of acknowledgment,"they used the AI tool, they didn't acknowledge the use of AI tool"
tutor,SPR-P01,plagiarism and lack of acknowledgment,"once I just run the plagiarism section, I can find out that"
tutor,SPR-P01,plagiarism and lack of acknowledgment,"they are still using that, and they are not acknowledged the use of Gen AI"
tutor,SPR-P01,need for practical ethical guidance and workshops,"we can provide, like, as I just mentioned, like, a workshop with the students, just to provide real test case scenarios"
tutor,SPR-P01,limitations and inaccuracy of AI outputs,"usually they are inaccurate, so I have to go and revisit"
tutor,SPR-P01,tutor reluctance to use AI for feedback,"To be honest… To be honest, I didn't… I didn't use any GenAI to provide feedback."
tutor,SPR-P01,tutor reluctance to use AI for feedback,"I think that's better, instead of using Gen AI tool to provide feedback"
tutor,SPR-P01,tutor reluctance to use AI for feedback,"in summary, no, I don't use that. I didn't integrate, to be honest."
tutor,SPR-P01,student engagement and boredom with current ethics activities,"sometimes the students find the activities a bit boring, to be honest"
tutor,SPR-P01,student engagement and boredom with current ethics activities,"they sometimes find out that a bit boring, because they don't like to do that one"
tutor,SPR-P01,student engagement and boredom with current ethics activities,"some of them, they like to participate, but most of them, they don't like to participate"
tutor,SPR-P01,professional development and staff training on GenAI,"provide more guidance, user manuals to support us on how to do that, because sometimes we don't know everything"
tutor,SPR-P02,need for clearer purpose of AI integration,they need to understand the purpose of using GenAI or integrating GenAI with their content
tutor,SPR-P02,need for clearer purpose of AI integration,"I didn't even know that was the purpose of gen… using Gen AI, or what's the purpose of, like, integrating Gen AI with this course"
tutor,SPR-P02,student over-reliance and non-acknowledgement,"they might use it superficially, but they don't acknowledge"
tutor,SPR-P02,student over-reliance and non-acknowledgement,"one group of students who use it overly, like, they just rely on GenAI"
tutor,SPR-P02,student over-reliance and non-acknowledgement,"they just rely on GenAI, and they don't want to give much effort"
tutor,SPR-P02,marking incentives for critical evaluation,"I used to, took off mark from them. I took off mark, like, 5%, 5, or, yeah, 5 to 8."
tutor,SPR-P02,marking incentives for critical evaluation,we need to assign some marks for the critical evaluation. Specifically
tutor,SPR-P02,marking incentives for critical evaluation,"if they see that it involves some marks, then they will be very… they will take it seriously."
tutor,SPR-P02,increased engagement through AI activities,"it was quite engaging, and yeah."
tutor,SPR-P02,performance gains for motivated students,"for those students who are eager, actually, who are… who are willing to learn. Yeah."
tutor,SPR-P02,performance gains for motivated students,"students who do well, like, who prepared well, who attend, lectures and tutorials, and also they… sometimes they take help from the GenAI, they have done excellent."
tutor,SPR-P02,performance gains for motivated students,"it is helpful for those students who are, like, prepared or who give effort."
tutor,SPR-P02,tutor use of AI for feedback and preparation,it was helpful to write the constructive feedbacks through Gen AI.
tutor,SPR-P02,tutor use of AI for feedback and preparation,"sometimes I use GenAI to, like. Maybe to make the content easier for students to, to explore, like, what could be the teaching approach?"
tutor,SPR-P02,desire for more training and lecture-level emphasis,"it would be better to, like, to have more content or more focus on… within the content of the lecture"
tutor,SPR-P02,desire for more training and lecture-level emphasis,"I think we could have, content within the lecture…maybe that could be helpful for them"
tutor,SPR-P02,desire for more training and lecture-level emphasis,"any, maybe any workshop, or any, any, any modules, or any learning modules, whatever it is. It could be helpful for us"
tutor,SPR-P03,high tutor AI literacy and daily professional use,"Actually, I use generative AI every day, I think. For different purposes."
tutor,SPR-P03,high tutor AI literacy and daily professional use,"for my teaching sessions..,before each classes, I… mmm…search with the generative AI to be familiar with the subject"
tutor,SPR-P03,high tutor AI literacy and daily professional use,"yes, I use GenAI before each of my tutorial sessions and each of the teaching sessions"
tutor,SPR-P03,AI-supported teaching preparation and feedback,"for my teaching sessions..,before each classes, I… mmm…search with the generative AI to be familiar with the subject"
tutor,SPR-P03,AI-supported teaching preparation and feedback,I asked GenAI to give me some possible questions that the students might ask me during the session
tutor,SPR-P03,AI-supported teaching preparation and feedback,"Yes, of course, I'm… It might… it's helpful to give students the feedback regarding their assignments. Yeah, I use GenAI for both teaching and assessment feedback."
tutor,SPR-P03,prompt quality and sensitivity as a core challenge,they see the sensitivity of their prompts and a sentence that they give to Gen AI
tutor,SPR-P03,prompt quality and sensitivity as a core challenge,the main challenge is how to ask Gen AI your problem because it's very sensitive to your prompts
tutor,SPR-P03,prompt quality and sensitivity as a core challenge,it's really important how we can try to find the best possible answer or not
tutor,SPR-P03,student engagement and motivation only moderate,"I think it's good to say 50-50. Yeah, half of the students try to critically evaluate, and half of them not."
tutor,SPR-P03,student engagement and motivation only moderate,"Yes, I think it… It's kind of engaging, but not too much, not very much."
tutor,SPR-P03,student engagement and motivation only moderate,"even maybe 50% or half of the students are engaged, yeah, engaged and interested, and some of them are not."
tutor,SPR-P03,mixed levels of student critical evaluation,"I think it's good to say 50-50. Yeah, half of the students try to critically evaluate, and half of them not."
tutor,SPR-P03,mixed levels of student critical evaluation,"Yes, in some cases, I… sawthat they try to evaluate their AI-generated content, but in some cases, no, I didn't."
tutor,SPR-P03,fairness concerns about AI users gaining higher marks,if some students use the GenAI to generate the answer this student might get higher marks rather than the students that don't use the GenAI
tutor,SPR-P03,fairness concerns about AI users gaining higher marks,the groups that use Gen AI to generate the answers might get higher marks rather than other groups that takes more effort
tutor,SPR-P03,no clear improvement in assessment performance,I didn't see any changes between the last semester and this semester in this part.
tutor,SPR-P03,no clear improvement in assessment performance,"regarding the assessment performance, I didn't observe any improvement of assessment performance."
tutor,SPR-P03,no clear improvement in assessment performance,"I should check…check their answers from, for example, and compare their answers from week 5… week 1 to 5"
tutor,SPR-P03,value of structured AI-comparison tasks for learning,Some students try to critically evaluate the AI generated and… try to compare then their answers with the Gen AI
tutor,SPR-P03,value of structured AI-comparison tasks for learning,"if they can, try to find the best possible answers from the gen AI. They will be more engaged. And also, they learn how to use the GenAI"
tutor,SPR-P03,value of structured AI-comparison tasks for learning,"I think this course, these parts of the course that ask them to generate one answer with the AI is really good"
tutor,SPR-P04,high tutor AI literacy,"Yeah, I'm working with, several LLMs. I'm using, RAG technology."
tutor,SPR-P04,high tutor AI literacy,"I have installed several Docker components for LLMs, and also, we are using several platforms to run the LLMs"
tutor,SPR-P04,high tutor AI literacy,"As a matter of fact, I am a researcher in this field, and I'm doing some research in different aspects of Gen AI."
tutor,SPR-P04,assessment integrity,please do not provide the answer of GenAI as yours
tutor,SPR-P04,assessment integrity,there is no way to control this behavior
tutor,SPR-P04,assessment integrity,"Some kinds of monitoring, some kinds of control is required for these kinds of behaviours"
tutor,SPR-P04,student over-reliance,"most of the time, students use Gen AI without any thinking"
tutor,SPR-P04,student over-reliance,more than 80% of the students use GenAI to provide the answer to the questions
tutor,SPR-P04,limited ethical guideline effectiveness,I'm not pretty sure that it is effective for their students.
tutor,SPR-P04,limited ethical guideline effectiveness,We try to control this behaviour by reducing or increasing the marks and it's not really working that well.
tutor,SPR-P04,limited ethical guideline effectiveness,there is no mechanism to control their behaviour. It is just morally.
tutor,SPR-P04,"need for controlled, course-specific AI tools","There is a possibility of providing, a specialized, Gen AI tools for each course."
tutor,SPR-P04,"need for controlled, course-specific AI tools",providing some specialized Gen AI tools for each course.
tutor,SPR-P04,"need for controlled, course-specific AI tools",students will be inside some guide rails in a controlled way…maybe it would be helpful.
tutor,SPR-P04,challenges verifying genuine understanding,I'm not sure how we can make sure that a student understands the course
tutor,SPR-P04,challenges verifying genuine understanding,"I have seen several times that students are not able to answer very simple questions, but they provide very proficient answer"
tutor,SPR-P04,challenges verifying genuine understanding,"at this moment, there is no way to control this behavior"
tutor,SPR-P04,prompt manipulation to game comparisons,they try to change the prompt to get weak answer from Gen AI to show that their output is better
tutor,SPR-P04,prompt manipulation to game comparisons,a student do this manipulation on the prompts to show that they are… the student answer has been better than the GenAI
tutor,SPR-P04,importance of oral questioning to detect misuse,"My strategy is… Asking, the concepts… of the course"
tutor,SPR-P04,importance of oral questioning to detect misuse,"when I feel that a student has used Gen AI to make sure about, to make sure about it, I asked some concepts about the course"
tutor,SPR-P05,student over-reliance on AI outputs,"they use that AI tool to generate the answer first, and then they use that one to produce their one"
tutor,SPR-P05,student over-reliance on AI outputs,they just provide it as their own task
tutor,SPR-P05,student over-reliance on AI outputs,"they are using the same scenario, then I… I understood that, like, they got this scenario from using the AI tool"
tutor,SPR-P05,weak critical evaluation and reflection,"they really can't reflect all the time, like, whether it is good or bad"
tutor,SPR-P05,assessment integrity and academic honesty,"we just can't give them zero, or just can't put them for like, you know, for academic integrity or something"
