role,participant_id,micro_theme,macro_theme,macro_label,quote
student,AUT-S01,need for clearer AI use and plagiarism guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training","just easily referenceable, like material of like, okay, where is where's the line between what's okay and what's not okay."
student,AUT-S01,surface-level understanding versus deep learning,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",it's pretty easy to just like get out an answer and not understand it
student,AUT-S01,surface-level understanding versus deep learning,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I didn't like always understand it, or like I still had like…this is still fairly general, and I wanna like go a little bit more deeper into it"
student,AUT-S01,surface-level understanding versus deep learning,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",it definitely made it just easier to just look at the larger surface of the topic before diving deeper
student,AUT-S01,"tool-specific policy awareness (Copilot allowed, others restricted)",policy_guidance_training,"Institutional Policy, Guidance, and Training",you may specifically use Microsoft Copilot in like helping your assessments
student,AUT-S01,"tool-specific policy awareness (Copilot allowed, others restricted)",policy_guidance_training,"Institutional Policy, Guidance, and Training","However, the other, I guess other tools aren't allowed unless told so"
student,AUT-S01,"tool-specific policy awareness (Copilot allowed, others restricted)",policy_guidance_training,"Institutional Policy, Guidance, and Training","there was some examples of explicit saying of like, where you're allowed to use. AI"
student,AUT-S02,speed and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,instead of the 3 min that it takes me to type in a chat question
student,AUT-S02,speed and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,because they're so accessible. That's what I would sort of revert to
student,AUT-S02,mixed feelings about learning benefits,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",it wasn't useful in actually helping my with my learning
student,AUT-S02,mixed feelings about learning benefits,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","I'm not taking in as much because I'm not putting in, you know the extra 3 hours"
student,AUT-S02,mixed feelings about learning benefits,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",I think it's definitely sort of a bit of a trap you can fall into easily
student,AUT-S02,clarity of institutional policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","between the list of policies being so easy to access, and it being very simple to use"
student,AUT-S02,clarity of institutional policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","I don't think I've ever really had a doubt about how to use it, or when to use it."
student,AUT-S02,clarity of institutional policies,policy_guidance_training,"Institutional Policy, Guidance, and Training",how to use it effectively without getting in trouble for is what I'd say
student,AUT-S02,case-by-case critical evaluation,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"I think it's definitely sort of a bit of a trap you can fall into easily. I think, like it comes down case by case in my opinion."
student,AUT-S02,desire for task-specific in-class guidance,policy_guidance_training,"Institutional Policy, Guidance, and Training","I think that goes back a little bit to my having like subjects, or I guess assignment specific AI uses."
student,AUT-S02,desire for task-specific in-class guidance,policy_guidance_training,"Institutional Policy, Guidance, and Training","literally in class, I would love to learn about a teacher saying, don't use, you know, ChatGPT to create your reflection for this assignment, use this other platform"
student,AUT-S02,desire for task-specific in-class guidance,policy_guidance_training,"Institutional Policy, Guidance, and Training","in class, there is this AI piece that can help you with this"
student,SPR-S01,groundwork and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,it's great at doing what I would call ground work
student,SPR-S01,groundwork and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,"we're not doing that ground work, as I said, but we're letting AI doing it. We're kind of trying to streamline the process"
student,SPR-S01,groundwork and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,"being able to implement, you know, submitting the assessment notification within ChatGPT or Copilot, and then asking, like, what is an appropriate distribution of this work?"
student,SPR-S01,clear separation between AI support and own thinking,ai_as_learning_tool,AI as a Learning and Comparative Tool,"that's not content that I'm making, that's content that's something else or someone else is making"
student,SPR-S01,clear separation between AI support and own thinking,ai_as_learning_tool,AI as a Learning and Comparative Tool,"You can use facets of it, absolutely, and you can use it to supplement your thinking, but claiming it as your own, definitely not"
student,SPR-S01,clear separation between AI support and own thinking,ai_as_learning_tool,AI as a Learning and Comparative Tool,"I want it to be my work and not the work of, you know, an algorithm"
student,SPR-S01,systematic cross-checking and handling hallucinations,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"once I had, I guess, uncovered the hallucination, or where it said basically the wrong thing, I kind of called it out, and then it would try and change it"
student,SPR-S01,desire for consistent and faculty-specific AI policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","I think the policies are inconsistent, or at least there's no set or based framework that's been applied."
student,SPR-S01,desire for consistent and faculty-specific AI policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","I think if there was a general, wide, you know, policy when it comes to AI, that would be a lot more powerful and important."
student,SPR-S01,desire for consistent and faculty-specific AI policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","But then also probably faculty-specific. I think that will… that will, yield, greater clarity for… for students, but then also for tutors and teachers."
student,SPR-S01,degree-specific strengths and weaknesses of AI,assessment_design_innovation,Assessment Design and Innovation,each degree will… will have AI's capabilities drawn in different ways
student,SPR-S01,degree-specific strengths and weaknesses of AI,assessment_design_innovation,Assessment Design and Innovation,"maybe a criminology degree or a social science degree, where there's a lot of critical analysis and AI is quite weak"
student,SPR-S01,integration of AI into coursework as a comparative tool,ai_as_learning_tool,AI as a Learning and Comparative Tool,integrating AI tools into coursework is very powerful
student,SPR-S01,integration of AI into coursework as a comparative tool,ai_as_learning_tool,AI as a Learning and Comparative Tool,"using it as a comparative tool is very, very, I think that that's important"
student,SPR-S02,speed and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,it's just faster and more efficient
student,SPR-S02,speed and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,I would say it's been quite easy
student,SPR-S02,use as a tool not a replacement,ai_as_learning_tool,AI as a Learning and Comparative Tool,you should only use it as a tool
student,SPR-S02,use as a tool not a replacement,ai_as_learning_tool,AI as a Learning and Comparative Tool,"you should use it as, like, a tool, and not as something that you should just, like, cheat through the entire subject with"
student,SPR-S02,use as a tool not a replacement,ai_as_learning_tool,AI as a Learning and Comparative Tool,I just reckon there should always be framed as a tool and nothing more
student,SPR-S02,concerns about accuracy,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","it can sometimes give out, like, wrong or misinformation in a way."
student,SPR-S02,concerns about accuracy,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",you can never know how truly reliable it is.
student,SPR-S02,concerns about accuracy,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I'm always quick to question whether or not it's trying to, just make up a statistic"
student,SPR-S02,systematic verification of statistics and sources,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"just double-check everything. If it gives me a statistic, or like, it doesn't sound right, or something, click on the link"
student,SPR-S02,systematic verification of statistics and sources,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"as I mentioned, you just double-check links. If it gives you a statistic, you double-check that"
student,SPR-S02,systematic verification of statistics and sources,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"click the link. Check it out, I've noticed it's been unreliable with, like, statistics, for example"
student,SPR-S02,over-reliance risk and student laziness,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",I do think it makes people a lot lazier.
student,SPR-S02,over-reliance risk and student laziness,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",you're not gonna learn anything if all you do is just use AI for every little bit of your assignments or assessment.
student,SPR-S02,preference for ChatGPT over Copilot,staff_experience_professional_use,Staff Experience and Professional Use of AI,"I just…as an AI model, I'd personally prefer, like, ChatGPT"
student,SPR-S02,preference for ChatGPT over Copilot,staff_experience_professional_use,Staff Experience and Professional Use of AI,"I think, like, ChatGPT is way more helpful than Copilot, for example."
student,SPR-S02,preference for ChatGPT over Copilot,staff_experience_professional_use,Staff Experience and Professional Use of AI,Copilot generally doesn't give me the output I desire as much.
student,SPR-S02,clear institutional guidance and appendices,policy_guidance_training,"Institutional Policy, Guidance, and Training","Most subjects, for example, give a clear outline of how they want you to use AI and engage with it."
student,SPR-S02,clear institutional guidance and appendices,policy_guidance_training,"Institutional Policy, Guidance, and Training","they have the appendix or the appendices at the bottom of the page. Paste what you put in here, you should only use it as a tool."
student,SPR-S02,clear institutional guidance and appendices,policy_guidance_training,"Institutional Policy, Guidance, and Training","I do like having the appendix on the bottom of every worksheet that says, oh, just paste how you used AI in here."
student,SPR-S02,value of AI-integrated activities for comparison and reflection,ai_as_learning_tool,AI as a Learning and Comparative Tool,"we had to make a diagram, and then we had to make, have Copilot generate the same diagram, but then we also had to make a comparison between the two"
student,SPR-S02,value of AI-integrated activities for comparison and reflection,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Sometimes it's, like, you write your own script, and then you have AI write up a script, see if you missed anything, compare the two"
student,SPR-S03,use of AI for summarising and clarifying complex material,ai_as_learning_tool,AI as a Learning and Comparative Tool,especially if you're just getting it to either condense chunks of information that you are feeding it
student,SPR-S03,use of AI for summarising and clarifying complex material,ai_as_learning_tool,AI as a Learning and Comparative Tool,"whenever I was confused and I didn't have the luxury to walk up to my lecturer and say, hey, how does this work? I'd usually just resort to AI"
student,SPR-S03,AI as a comparative tool after completing own work,ai_as_learning_tool,AI as a Learning and Comparative Tool,"they're like, hey, compare your own output to that of Gen AI's"
student,SPR-S03,AI as a comparative tool after completing own work,ai_as_learning_tool,AI as a Learning and Comparative Tool,it should only really be used As a comparative tool. And only after you've done the work
student,SPR-S03,concerns about accuracy and hallucinations,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I was like, okay, I'm going to assume it's just hallucinating"
student,SPR-S03,concerns about accuracy and hallucinations,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",you can't really trust it for everything
student,SPR-S03,time-consuming but deliberate verification and cross-referencing,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"it takes up a lot more time, and then you have to actually go through all of the information that is brought up"
student,SPR-S03,time-consuming but deliberate verification and cross-referencing,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"despite all my efforts, and I'm talking maybe, like, 3 hours of research, I could not find a single paper"
student,SPR-S03,over-reliance risk and loss of independent problem solving,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","if I know anyone that has used generative AI tools as a first line of…I guess, work… completing their work, it usually ends really badly"
student,SPR-S03,over-reliance risk and loss of independent problem solving,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","they don't even attempt to do the task at hand. Instead, they just get AI to do it for them"
student,SPR-S03,over-reliance risk and loss of independent problem solving,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","having a greater reliance on AI usually leads to a dependence, innately"
student,SPR-S03,positive impact of subject design on ethical AI use,assessment_design_innovation,Assessment Design and Innovation,"this unit that I just took, BRM, it is probably the only subject that has helped me make more ethical decisions when it comes to generative AI"
student,SPR-S03,positive impact of subject design on ethical AI use,assessment_design_innovation,Assessment Design and Innovation,"they're really trying to, you know, I guess, maxim sense into students and say, hey, you can't really trust it for everything"
student,SPR-S03,positive impact of subject design on ethical AI use,assessment_design_innovation,Assessment Design and Innovation,"I feel like…from that perspective, it's really good that you guys are actually addressing a core issue of ethics, and it's sustainable usage"
student,SPR-S03,desire for clearer guidance on acceptable extent of AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training",The one unclear aspect of its usage that I don't know myself is how much can you use it?
student,SPR-S03,desire for clearer guidance on acceptable extent of AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training",can I get it to do my entire task?
student,SPR-S03,desire for clearer guidance on acceptable extent of AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training","it's clear as to how you should use it, but it's not clear as to how much you should be using it."
student,SPR-S03,trust in AI for learning but not for final judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,I wouldn't allow it to make the final judgment.
student,SPR-S03,trust in AI for learning but not for final judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,I think integrating it in the sense where you're using it as a fact-checker rather than a method to actually complete your work is really good.
student,SPR-S03,trust in AI for learning but not for final judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"I would say if it was simple weekly lectures. For the entire lecture, I'd spend maybe…20 minutes, 25 minutes, just re-evaluating, hey, can I actually trust this?"
tutor,AUT-P01,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,design an assignment that using generative AI doesn't help them to complete that assignments
tutor,AUT-P01,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"we make sure that whether they understand or not. So the 70%, I think element of the my subject is about oral presentation. We just stop them for cheating"
tutor,AUT-P01,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,we should minimize the way they can use the generative AI in unethical fashion
tutor,AUT-P01,assignment redesign to limit unethical AI use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,design an assignment that using generative AI doesn't help them to complete that assignments
tutor,AUT-P01,assignment redesign to limit unethical AI use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"the 70%, I think element of the my subject is about oral presentation. We just stop them for cheating"
tutor,AUT-P01,assignment redesign to limit unethical AI use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,design an assignment that there is a small room for using language model in a unethical way
tutor,AUT-P01,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","maybe they know that they should not use it, but because maybe the life got become busy or they become lazy"
tutor,AUT-P01,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I feel that some of them, they use it in a you know, not a smart way"
tutor,AUT-P01,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",we should stop and we should minimize the way they can use the generative AI in unethical fashion
tutor,AUT-P01,superficial AI use and inaccurate outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I feel that some of them they're using ChatGPT to coming up with their assessment, which for sure the ChatGPT answer is not 100% accurate or comprehensive."
tutor,AUT-P01,superficial AI use and inaccurate outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","sometimes I saw with some students like a HDR student, that when we are asking some research question or research task…just get some boring stuff from generative AI."
tutor,AUT-P01,superficial AI use and inaccurate outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","yeah, I saw those example that people coming up with a boring, repeated, repeated the stuff or general knowledge from language model, which which is not useful."
tutor,AUT-P01,need for staff training and practical workshops,policy_guidance_training,"Institutional Policy, Guidance, and Training",There's I think I need myself. I need some specific training
tutor,AUT-P01,need for staff training and practical workshops,policy_guidance_training,"Institutional Policy, Guidance, and Training","we need very direct guided tutorial, to tell them how they can use it"
tutor,AUT-P01,need for staff training and practical workshops,policy_guidance_training,"Institutional Policy, Guidance, and Training",if there is a like a tailored workshop that tell us how we can use generative AI to improve our teaching would be nice
tutor,AUT-P01,desire for university-provided examples and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training",There's I think I need myself. I need some specific training
tutor,AUT-P01,desire for university-provided examples and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training","So so the point is, if the as a university, if the university can design something, I'm happy to adopt it."
tutor,AUT-P01,skepticism about effectiveness of student education alone,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"I'm not sure to what really, whether they are those education can be useful."
tutor,AUT-P01,skepticism about effectiveness of student education alone,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Education would be nice, but I'm not sure if that's effective."
tutor,AUT-P01,skepticism about effectiveness of student education alone,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,I think that we should stop and we should minimize the way they can use the generative AI in unethical fashion.
tutor,AUT-P01,oral presentations as an authenticity check,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"the 70%, I think element of the my subject is about oral presentation. We just stop them for cheating"
tutor,AUT-P01,oral presentations as an authenticity check,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"One way is, for example, beating generative. AI, but it needs again oral presentation"
tutor,AUT-P02,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",these are my concerns about the over reliance of the students on the output of ChatGPT
tutor,AUT-P02,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",over-reliance is one very serious concern…
tutor,AUT-P02,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",ChatGPT make a student week in their engagement
tutor,AUT-P02,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,we should ask them to mention everything about how they use generative for each assessment
tutor,AUT-P02,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,we have a tool that check the assignments that if it's generated
tutor,AUT-P02,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"we need to revise… everything in the course, especially the assignments. If you want to make it ethical"
tutor,AUT-P02,need for AI-use disclosure and transparency,policy_guidance_training,"Institutional Policy, Guidance, and Training",we should ask them to mention everything about how they use generative for each assessment
tutor,AUT-P02,need for AI-use disclosure and transparency,policy_guidance_training,"Institutional Policy, Guidance, and Training","a part or section that students, for example, acknowledge about the application of generative AI tools and explain how they use"
tutor,AUT-P02,need for AI-use disclosure and transparency,policy_guidance_training,"Institutional Policy, Guidance, and Training",for all assignments to mention the role of generative AI in their outputs and results
tutor,AUT-P02,shift toward oral and process-focused assessment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Yeah, oral activities also can be another solution that you can students ask the students to generate something and present in the class."
tutor,AUT-P02,shift toward oral and process-focused assessment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,they when they want to and talk about so they should talk about from their understanding of that text.
tutor,AUT-P02,shift toward oral and process-focused assessment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Because of that, I try to ask for some verbal and oral presentations instead of, for example, writing something in the class."
tutor,AUT-P02,lack of institutional guidelines and training,policy_guidance_training,"Institutional Policy, Guidance, and Training",I'm not sure if we have some guidelines for that
tutor,AUT-P02,lack of institutional guidelines and training,policy_guidance_training,"Institutional Policy, Guidance, and Training",there is no guideline that we can say
tutor,AUT-P02,concerns about AI accuracy and trust,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",these are my concerns about the over reliance of the students on the output of ChatGPT
tutor,AUT-P02,concerns about AI accuracy and trust,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","it may help students to know the accuracy of the ChatGPT outputs and also they can, how much they can trust on ChatGPT"
tutor,AUT-P02,concerns about AI accuracy and trust,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",I have seen that the output of ChatGPT is not accurate enough
tutor,AUT-P02,developing students’ critical evaluation of AI outputs,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"ask students, maybe, to compare their findings based on their own knowledge, with the ChatGPT or generative AI"
tutor,AUT-P02,developing students’ critical evaluation of AI outputs,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"then compare, and then they in the long term, I think they can understand what's the strength and what's the weakness of the generative AI"
tutor,AUT-P02,developing students’ critical evaluation of AI outputs,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"we train them for evaluating the outputs first, t and maybe prepare a report for the their evaluation of the generative AI outputs"
tutor,AUT-P03,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"we have final exam, and it's open case exam, most of the students they use GenAI without any monitoring"
tutor,AUT-P03,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,there should be a solution for this you know. My solution is different from other solutions. Maybe we can conduct it on a paper based instead of online
tutor,AUT-P03,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"In my subject I introduce the ethics, and I mean the the … you know the Gen AI how to be used, what are the rules"
tutor,AUT-P03,need for explicit AI guidelines and expectations,policy_guidance_training,"Institutional Policy, Guidance, and Training","I rarely receive emails regarding how it can be used, how…all what we receive is just general, you know, general."
tutor,AUT-P03,need for explicit AI guidelines and expectations,policy_guidance_training,"Institutional Policy, Guidance, and Training",I've never have received any any workshop from the school or faculty regarding this.
tutor,AUT-P03,need for explicit AI guidelines and expectations,policy_guidance_training,"Institutional Policy, Guidance, and Training","there is no consistency, I think."
tutor,AUT-P03,student over-reliance on AI in exams,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"when we have final exam, and it's open case exam, most of the students they use GenAI without any monitoring"
tutor,AUT-P03,student over-reliance on AI in exams,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"currently, we just ask the student, hey, if you use Gen AI, please acknowledge it. This is a very general sentence, and nobody do it"
tutor,AUT-P03,use of AI for engagement and idea generation,ai_as_learning_tool,AI as a Learning and Comparative Tool,it's kind of tool to help them and to initiate some ideas for the students
tutor,AUT-P03,use of AI for engagement and idea generation,ai_as_learning_tool,AI as a Learning and Comparative Tool,Gen. AI can give us a good ideas or scenarios
tutor,AUT-P03,importance of reflective reporting on AI use,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,we need to allocate 10% mark for providing a reflection how Gen. AI was used
tutor,AUT-P03,importance of reflective reporting on AI use,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,add a reflection to the to the exam reflection about GenAI
tutor,AUT-P03,importance of reflective reporting on AI use,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,if we clearly ask the student to provide a section that how ChatGPT or GenAI was used in this exam it would be very beneficial
tutor,AUT-P03,insufficient institutional training and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training","Minimum, or if it was, it was very general…not not specifically for the school"
tutor,AUT-P03,insufficient institutional training and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training","I rarely receive emails regarding how it can be used, how…all what we receive is just general"
tutor,AUT-P03,insufficient institutional training and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training",I've never have received any any workshop from the school or faculty regarding this.
tutor,AUT-P03,desire for staff access to paid AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training",I think the University should provide us with the paid version of ChatGPT or Gen AI.
tutor,AUT-P03,desire for staff access to paid AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training",it's a good idea if the university can provide us with the paid version of ChatGPT orGenAI
tutor,AUT-P03,desire for staff access to paid AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training","we need to walk in the same time simultaneously with the student. The student cannot be, they shouldn't be upfront of us"
tutor,AUT-P03,designing assessments beyond simple text generation,assessment_design_innovation,Assessment Design and Innovation,I don't ask the student just to give the answers by in a text format.
tutor,AUT-P03,designing assessments beyond simple text generation,assessment_design_innovation,Assessment Design and Innovation,"I asked them to generate some figures, some diagrams."
tutor,AUT-P03,designing assessments beyond simple text generation,assessment_design_innovation,Assessment Design and Innovation,"maybe we can ask the student to do some analysis, not only report, you know, not only text."
tutor,AUT-P04,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,you need to be aware of your academic integrity and the fact that you cannot copy paste ideas
tutor,AUT-P04,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,we have this thing that they need to really disclaimer that if they have used any GenAI
tutor,AUT-P04,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,we reported them under the rest is with the integrity team
tutor,AUT-P04,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",whenever you give any activity to the students like the first go to would be Gen AI
tutor,AUT-P04,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","students, they use it very often, and that quite regularly"
tutor,AUT-P04,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I believe a lot of responses they produce… I mean, I even like I can give you this example"
tutor,AUT-P04,cautious use for feedback and ideas,ai_as_learning_tool,AI as a Learning and Comparative Tool,"I do sometimes. But as you, we both know well. You always need to really double check when you use AI, because it's not 100% reliable"
tutor,AUT-P04,cautious use for feedback and ideas,ai_as_learning_tool,AI as a Learning and Comparative Tool,"encouraging the students, hey, use it, but when you're using it, don't copy and paste it"
tutor,AUT-P04,need for staff training on AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training","could be good, perhaps if we have some trainings around.. I don't know what is available, what can be done"
tutor,AUT-P04,need for staff training on AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training","to perhaps the training could be around what sort of AI tools can be used, and how you can sort of like implement like this, these AIs into your teaching"
tutor,AUT-P04,institutional guidelines and disclaimers,policy_guidance_training,"Institutional Policy, Guidance, and Training",it's always now part of every subject outline
tutor,AUT-P04,institutional guidelines and disclaimers,policy_guidance_training,"Institutional Policy, Guidance, and Training","for each assignment we also have a section about AI, and how they need to be sort of like accountable and responsible for the use of AI"
tutor,AUT-P04,difficulty detecting AI use at scale,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,I'm sure that the students they use it. Some might be even sort of more successful than the others to use it and get away with it.
tutor,AUT-P04,difficulty detecting AI use at scale,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"honestly, these days, I mean, it's very hard to tell"
tutor,AUT-P04,difficulty detecting AI use at scale,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"how to really detect a hundred percent certainty where everybody's using it, I guess, like we just need to accept it as a fact."
tutor,AUT-P04,positive impact on engagement when scaffolded,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",it came up with a very great like I mean great scaffolding and what not
tutor,AUT-P04,positive impact on engagement when scaffolded,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",I always want to make sure that my classes are sort of useful to the students and also not boring
tutor,AUT-P04,positive impact on engagement when scaffolded,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",I could tell right away like they showed more interest in this subject
tutor,AUT-P04,cross-institutional differences in AI policy enforcement,policy_guidance_training,"Institutional Policy, Guidance, and Training","Because I also work at UNSW, so we've had some sort of trainings and meetings and sessions around AI there as well. Maybe more than UTS, definitely."
tutor,AUT-P04,cross-institutional differences in AI policy enforcement,policy_guidance_training,"Institutional Policy, Guidance, and Training",I'm not sure if…I guess UNSW is a bit stricter when it comes to to that.
