doc_type,subject_code,semester,interview_round,participant_role,participant_id,speaker,turn_index,text
student,31266,Autumn,First,student,AUT-S01,AUT-S01,11,"For myself, it's I feel like it's mostly just like a personal thing. Like, I guess, like I don't think to use Generate AI as 1st before anything else. I guess I can. If I was like researching something I would 1st like go to like Google or something. And just like, ask questions there. Interviewer: I'm going to put a couple of answers in the chat real quick and maybe you can have a look at those and tell me which one is, maybe one of the reasons for you why you haven't really used generative AI tools that much."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,12,"It's probably like the preference to traditional learning, and like some ethical concerns and also like the accuracy and reliability. But that's less so nowadays. But it was..it's mainly preference for traditional learning methods. Interviewer: Okay. Was there anything that could have encouraged you or supported you to try them, or to use them more frequently?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,13,"I get like I'm not sure exactly, but I feel like, I guess just knowing like more specific details about, I guess what it is. Cause I can get like on like the surface level, like. Oh, it does this and this, but like underneath that, I don't really know how that's being done and I feel like, do I trust it? I don't know if, like that is, and like I feel like, if I were like say go with it, there's also like problems of like…do what should I fact-checked it? Or like something, for, like AI, or like generative AI, like giving me some sort of output. Interviewer: Okay, for the examples that you have given where you use generative AI for completing assessments like in group work, did you find it helpful to use it in those moments?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,14,"It definitely made it way faster. That's for sure. Like some of like the work. I felt like I did like I did like a little bit. But a lot of the rest of the time was like, actually, I don't remember what this like. I could focus pretty well on one question, just like myself. But for, like the group work where there was like multiple questions, it was definitely way faster to, I guess, give it to AI, and then synthesize it after that. Interviewer: Those examples for group work, was it mainly because your other group members they didn't contribute as much? And you try to catch up for their work or?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,15,"No, though I'd say, my, my groups have been pretty like we're contributing pretty well, and like other stuff. I just thought various questions, it's very easy to just put it into like a generative AI, and then get an output that's pretty clear. Interviewer: Do you still remember what kind of assessments this were, like those group assessments? Was it like creating infographics or pivot table exercises? Reflection.."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,16,"For I guess specifically in the intro to information systems? It was mostly tutorial work where we would like given like some question that I guess we could like that will like mentor research by like, I guess putting it to AI. It gave us a pretty like pretty like good scaffold, for like what an answer should be! And if we ever needed any more information, we just like look up like specific parts of that answer. Interviewer: So you would say it was pretty handy for gaining like an overview of a topic first, before you dive deeper into it."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,17,"Yeah, it definitely made it just easier to just look at the larger surface of the topic before diving deeper. Interviewer: Maybe also in terms of like time efficiency?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,18,"Yeah, that, too. Cause…I guess researching would have taken time to cover that surface to like find it. Interviewer: Okay, nice. How did your confidence in using AI tools for learning change throughout the semester?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,19,"Yes, I myself I don't particularly like it, cause whenever I like read I guess like something from it, like whenever I was, it was like put into like our work, our group work. I'll I didn't like always understand it, or like I still had like…this is still fairly general, and I wanna like go a little bit more deeper into it and so….I guess it's just… I got the output, but I didn't really like quickly learn it. And so I had to like, still do the, I guess old fashioned researching and whatnot to like actually understand it. Interviewer: Interesting. Maybe the next question is connecting quite nicely to what you just said, how easy or difficult was it to critically assess the quality and accuracy of AI generated content in those moments? You were saying you didn't always agree with, or you didn't understand straight away the output. So, how easy or difficult is it for you, or was it for you to critically assess the quality and the accuracy?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,20,"I think Copilot and such they like give you like a source that like they got it like they got the information from, and that made it easier to like, understand, like, okay, so this is what it means by that. And like does that relate to what we're doing or like what the answer was? But like, at 1st glance, I guess, I always saw it with like some scepticism like, no matter what. Because I guess I didn't really understood like where it would come from. Interviewer: If I understood correctly from your personality type…there weren't really situations where you trusted generative AI too, much you were like rather the opposite you, you didn't really believe in what it was mentioning, even though there's like sources, provided you were still like kind of very critical when going through the output, right?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,21,Yes. Interviewer: Sceptical you were saying?
student,31266,Autumn,First,student,AUT-S01,AUT-S01,22,Yes. Interviewer: Okay. Did you use any strategies to verify the reliability of AI generated content or responses.
student,31266,Autumn,First,student,AUT-S01,AUT-S01,23,"Like, I'm not sure if you…I guess like, I guess, just like specific like, if I knew, like a general like topic that it was on. I guess. Say, it was like on like… or, it was like answering questions about like ethical issues in industry. I guess I could like… I would sometimes like double check that with other sources that I read myself. And like, you know how sometimes it like produces a list of things… I guess understand what that meant first, trying and like look, I guess, see if there's any other sources there that wasn't given, and then I guess that's how I would double check it. I would also, like, you know, double check the source that I'm checking it from, like, you know, with the classic methods. Interviewer: Yeah. So you were even going into some of the sources to see if they really exist and if they're really stating what has been mentioned."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,24,"Yeah. Interviewer: Okay, nice. Were there moments where you realized AI generated content was incorrect or misleading. And how did you handle that? I think you mentioned already some of it."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,25,"Yeah, whenever it wasn't really like, I guess, what I what I thought would be correct. If it's like something simple, I would usually just like not use that, just like that specific part and then focus on the other stuff that I can like verify. If it's something, I guess something that like is kind of important, I’d like at least like use it as like a starting point. Just to like, look up other stuff. Otherwise it's… I don't know, I guess, replacing the parts that were wrong. And yeah, just like, mostly just replacing the parts that are wrong, and removing the ones that I can't replace. Interviewer: Okay, next question, did the subject with Subject Coordinator-31266 help you feel more prepared to make ethical decisions when using generative AI in academic or professional settings?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,26,"Do you think you can repeat that one. Interviewer: Did the subject, I can also…maybe it's easier if I just copy and paste the question at the same time into the chat. So did the subject help you feel more prepared to make ethical decisions when using generative AI in academic or professional settings?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,27,"Somewhat, I guess, I already knew that I like I shouldn't be relying on it like heavily and that seemed to be echoed within what I like learnt in my subjects. And I guess the main thing is to show me like specific cases of like where you might want to rely on it, or where it's like only somewhat reliable, and I guess, making like…it's up to like me to make my own decisions on what it is. It didn't really give me specific/super specific guidelines on when using generative AI. Interviewer: So you didn't really felt guided in this subject if I understood it correctly, in terms of making ethical decisions when using generative AI. It was more your general knowledge that you gained so far at university, and your own way of making those decisions with your previous knowledge, right?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,28,"Kind of. It is still, the subjects themselves still like revealed I guess avenues that I didn't consider, and that helped guide like what do I think is okay. Interviewer: Do you have an example, maybe for that?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,29,"So this wasn't specifically in introduction to information systems, but another subject called Communications for it Professionals…and during the tutorials sometimes they'd show like a case study, or like a news article of like of a AI tool being like either wrong or used incorrectly for scenario and seeing the impacts of it. Interviewer: And this helped you like in terms of guidance?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,30,"This helped me like, one know what the consequence like consequences are where people may use it. And I guess what ways we can avoid completely relying on AI. Interviewer: Okay, next question, about the UTS policies in terms of academic use of generative AI. Do you find it difficult to understand your institution's policies on the ethical use of generative AI in assessments?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,31,"I don't think so. Like my tutors are pretty like pretty thorough in saying that you may specifically use Microsoft Copilot in like helping your assessments and like, if you happen, if you happen to use its output, then it still needs to be credited, or said that you've used the AI tool. However, the other, I guess other tools aren't allowed unless told so. Interviewer: So you have never really felt unsure about whether you use generative AI or your use of generative AI was within policies…"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,32,"I don't think there are many cases where I was… if there was, I'd usually ask directly my tutor, and they would give me an answer pretty quickly and so I wasn't lost for very long. Interviewer: Okay, nice. In Subject Coordinator-31266’s subject do you remember if there were the policies clearly explained, or subject materials offered on Canvas? Interviewer: I think you're muted."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,33,"Oh, sorry! Mind if you repeat that question? Interviewer: Yeah. So the policies were they clearly explained in your classes, for example, in Subject Coordinator-31266’s subject, or within the subject materials of this class on canvas?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,34,"I felt like I'd, I felt like I learned it more in a different subject, mostly because I had it first. But yeah, I even intro to information systems with Subject Coordinator-31266, there was some examples of explicit saying of like, where you're allowed to use. AI, but it's mostly in reference to just like if you're unsure ask your tutor or look it up. Interviewer: Okay, next question, do you feel like there could be any extra support being offered in terms of using generative AI that you would like to see being offered from university? Maybe workshops, drop-in sessions, tutorials, or in class discussions.."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,35,"I'd feel like mainly just…it doesn't have to be like a like a whole session for it, but like just easily referenceable, like material of like, okay, where is where's the line between what's okay and what's not okay. Cause currently, whenever I'm like thinking, like, is this okay, okay to use? I kind of have to like, guess where the line is sometimes. I guess for an example, in another subject, there was a research task, a group research task, and my team members use like AI in some of their parts and like, I guess, changed it around a little and I wasn't too sure if that was okay or not. And so I would like to know, like, without needing to like directly. ask somebody about it like, Is this like copying or like plagiarism, cause like the regular plagiarism guidelines doesn't really explicitly say, like, if that's okay. And I would just like to know more about that. Interviewer: Okay, nice. Last question. If generative AI tools continue to be integrated into coursework, like, you have seen it in Subject Coordinator-31266’s subject for one of the tutorials, how do you think they should be used? So what role should generative AI play in assessment, more as a tutor, collaborator, or something else. Do you have anything in mind?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,36,"I guess I feel like specifically like generative AI, for like text that like you ask it a question, and it gives like answers you back as accurately as possible. I feel like that should be decently limited, and I think that comes from like, I guess this other subject again…occasionally we get like given work for this group research task and I give them like a question like, can you research about this topic and that they would like immediately put it to ChatGPT or something like that and give that back. And whenever I need a like ask them to like present that information then, they were not super thorough about it. And I would like for them to know, know the sources which I think like the Copilot does. But I guess mainly I would like to keep it more like the background, because I guess it's pretty easy to just like get out an answer and not understand it. Interviewer: Okay, great. Thank you. AUT-S01, this was already the last question, if you have another 10 min, I would just go real quickly with you through a potential student resource for generative AI. If you have the time."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,37,"Yeah, I think I got time. Interviewer: Yep, cool. Let me just share my screen in a second. Give me a second. […] Interviewer: Alright, AUT-S01. Then have a great evening and see you around."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,38,"Have a great evening too. Interviewer: Yup, thank you. Bye-bye."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,39,Bye.
student,31266,Autumn,Second,student,AUT-S01,AUT-S01,1,Interviewer: Is it okay for you if I record this session for data analysis purpose?
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,2,"Yep, 100%. Interviewer: Yeah, nice, beautiful. Do you hear me clearly?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,3,Yep. Interviewer: Nice I think you already have an idea what the interview is about. Right?
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,4,"Yeah, like AI within sort of the engineering and IT sector. Interviewer: That's right. So it was part of a FFYE research grant what we're working on right now, and the subject that you took with Moretza this semester. The introduction subject is the 1st pilot subject for our research. And today's interview session is mostly about generative AI, and how you utilized it, and what was good, what was bad about utilizing it kind of, I have prepared multiple questions for you and if you want, we can just start straight away."
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,5,"Beautiful, happy, to. Interviewer: Cool. Interviewer: So the 1st question is, how did you use generative AI tools in this subject in Subject Coordinator-31266’s subject?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,6,"Mostly questions and queries for sort of to get a base understanding for an example for an assignment so like our last assignment, was to create a pivot table off a Excel spreadsheet, and instead of going back into my workbook and looking all that would just ask AI, maybe like, what are the steps to create a pivot table in the Excel spreadsheet, and then follow that to sort of help me with my assessment a bit. I'd also use it for like recommendations. So for any report we had to write, I would use it to fact-check and all that sort of thing, double check on my citations, make sure my citations were written correctly. I didn't use it as much to find information. I find research pretty easy, like I understand how to do it well, but more putting stuff together. So I found sometimes I mix myself up about like where the best part to put a paragraph or something is so I'd ask it like, Oh, does this bit? Is this conducive to put after this? Or would it make more sense to, you know, mix it around that sort of thing. Interviewer: Nice, okay second question, did you find generative AI helpful in completing assignments? Why or why not?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,7,"Yes, I did it. It provided, well, because you can ask it to reframe things and rework explanations rather than you know, asking person to person communication can get model asking it direct, like giving a direct and definitive answer in multiple different ways, is what I found the most helpful. Interviewer: Was there anything it wasn't really helpful for?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,8,"Yeah. This isn't like so much as physical but I felt slightly cheating using it. Obviously, it is like, kind of a gateway into other things, but it wasn't useful in actually helping my with my learning. I'd say so. I'm not taking in as much because I'm not putting in, you know the extra 3 hours instead of the 3 min that it takes me to type in a chat question. Interviewer: Okay, fair enough. You mentioned already in terms of assessments, you used it for pivot table exercises, did I understood this correctly, yeah? Did you use it for anything else like for quizzes or video making activity, infographics, reflections, reports…"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,9,"Infographics definitely not. I know. We made that one in class quizzes possibly a question here or there, if I was unsure, but they were pretty like easy for this subject. Reflections and written assignments like, I said, more sort of content, based rather than research, based and structure based. I forgot what other assessments we had. I think that was it. Oh, group assignments, presentations. We did use it for presentations. We used it for the design of presentations. Interviewer: Was it helpful for that?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,10,"100%. It really cut out a lot of the time sake. And you know, wasting time on, what should the presentation look like? So I asked AI. I think I said, what's like the most effective colors, pictures, or shapes to use for this topic and subject, and it gave me that. And then we created off that. Interviewer: Okay, nice. How did your confidence in using AI tools for learning change throughout the semester?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,11,"Good and bad depends on what AI we're talking about. I would say so. The ones that I would personally use say, for example, either Siri ChatGPT, or like the inbuilt ones, like the very mainstream sort of ones, became quite easy, because they're so accessible. That's what I would sort of revert to. But the ones that I wasn't so confident about was the ones we actually learned about in class. So the teachable machines all that sort of thing, because yes, we learned about them and had an example in class but that was kind of it. It wasn't really further extended into like a business model or situation where we would use it in the real world it was kind of like, oh, here's what you have. Now you go create an idea, and if you want to use it more, you use it more kind of thing. I'd love to like it be extended a little bit more about what applications they all have that we learned about. Interviewer: Okay, nice. Thank you. How easy or difficult was it to critically, assess the quality and accuracy of AI generated content for you?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,12,"For me. I find it relatively easy. I wouldn't say it was taking one look, and then being able to decipher it, but it was pretty easy if you understand writing. And like, I'm a sort of that education level of understanding what good writing looks like and what it doesn't look like, and also just knowing like a written pattern behavior. So obviously, you can see a perfectly written essay that is written by AI, or perfectly written essay that's written by humans kind of very different grammar and structure. So just knowing the difference is really helpful in making sure you're not getting caught out. And that sort of thing. Interviewer: But yeah, but maybe more in terms of like the output itdelivered, not regarding the way it was kind of writing the output, but more in terms of the output. Was it easy for you to critically assess the quality."
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,13,"Ahh okay if it gave me an answer if I can understand it? Interviewer: No, not if you can understand it. But did you just accept whatever generative AI was telling you? Or did you also critically assess, if that's actually the right answer or not."
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,14,"Right. Yes and no again. So I would definitely fact-check and look back for everything that was sort of the more important assignments. So anything that was like the pivot table, I would double fact check. So I'd go, and I'd try. It's like step-by-step instruction on how to make a pivot table all that sort of stuff. I'd go back and check that. But if it was something small like the quiz answer for something or something like that. I don't know something small and sort of menial. I wouldn't really fact check it, as I sort of just check my own knowledge mentally and go oh, does that sound about right? And then make a judge based off common sense. Interviewer: So you don't really have any specific indicators that help you to judge the quality of accuracy, it's more your own understanding, that you're using, did I understood that correctly?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,15,"Yeah, I'd use, like my own intuition, sort of as the main base. Now that you said all that doesn't sound too good. Interviewer: This leads me to the next question. Do you think there are situations where you may be trusted Generative AI too much?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,16,"Yeah, I think it's definitely sort of a bit of a trap you can fall into easily. I think, like it comes down case by case in my opinion. If you're learning the work in class and you understand it well, and then use AI on top of that, it'll be fine. But if you're using it instead of learning, that's when it becomes the issue. Interviewer: Okay next question, similar context, slightly different. What strategies did you use to verify the reliability of AI generated responses? Maybe not only in this subject, maybe also in other subjects. You were talking about pivot tables already a bit, but maybe you have any other strategies to verify the reliability."
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,17,"Yeah, okay, I think I would. Oh, what did I do? Trying to think back. Oh, mainly just sort of inputting other forms of information, so maybe doing my own research first, then popping into chat and going add on to this, and then it already has a base to sort of start with like, and it's kind of pre verified in a way, because it has like, oh, you want this sort of information. I'll get that as well. But I would go back and check like canvas learning for example. I'd go back into Canvas and be like, oh, does that sound right? Is this learning correct? Yeah, kind of just going back to my own information research 1st and building off that. Interviewer: So basically consulting other sources as well."
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,18,"Yes, 100%. Interviewer: Do you maybe a rough estimate how much time you would generally spend for more important assignments to do that, to verify the content."
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,19,"Probably I'd say about 3 hours, basing that off 2 assignments that come to mind. Yes, about 3 hours. Interviewer: Were there moments where you realized AI generated content was incorrect or misleading and how did you handle those moments?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,20,"Yes, I did. This was mainly within one of my coding classes. It would provide me an output, but obviously a very simple, or it would provide an output that wasn't completely correct in the language that we were learning. So then I would test it and take the code, and it would come up with errors. And so then I was like, oh, I can't rely quite heavily on this to provide examples. So that was when I would go back and sort of check it and use my own knowledge and the knowledge on canvas to get some sort of correct answer. Interviewer: Okay, did the subject, so Subject Coordinator-31266’s subject help you to feel more prepared to make ethical decisions, when using generative AI in academic or professional settings?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,21,"Yes, to a degree, I'd say, sort of like middle ground on that. It didn't impact me heavily but definitely more consideration taken now. Interviewer: Do you have maybe an example of how?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,22,I'm not too sure I might come back to that one. Interviewer: Do you find it difficult to understand your institution's policies on the ethical use of generative AI and assessments?
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,23,"No, not at all very simple, very straightforward and they repeat it pretty much at every class. Interviewer: So it's present in every single class, the same guidelines?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,24,Pretty much yep. Interviewer: And the policies were also clearly explained in your classes or subject materials on canvas all the time?
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,25,"Not all the time, there was some things I would learn like one thing in one class and one thing in another, so it wasn't fully across the board, but like it was 85% across the board, pretty well repeated in every class. Interviewer: So you have never felt unsure about whether you use Gen AI within the policies or not?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,26,"No, not really. Interviewer: What support do you need to use Generative AI, even more appropriately?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,27,"I would say…more understanding on the benefits and negatives of it. So yeah, you can understand, like the ethical use, it's not your own work and all that sort of thing. But how..I don't know…it's it's a hard sort of…it's not a definite yes or no. It's just kind of like a…I don't know. It's how to how to use it effectively without getting in trouble for is what I'd say. So don't create your entire assignment with it, but do use it to, you know, help you get better marks. Interviewer: So do you think it could be maybe a good idea to have some extra workshops that kind of prepare you on how to make the most out of Generative AI?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,28,"Yeah, I wouldn't even say workshops, though, because I know a lot of workshops that you need go like on not taken by students because of the lack of like information around them. Like, literally in class, I would love to learn about a teacher saying, don't use, you know, ChatGPT to create your reflection for this assignment, use this other platform that, you know might help you write better, or use different ideas, that sort of thing. Interviewer: That's interesting. So you mean having a tutor in class that really, based on your weekly activities, shows you how to maybe utilize generative AI in a way that it helps you, and that it's still like within the policies of UTS."
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,29,"100%. Absolutely, I think flat out use of AI obviously makes a degree somewhat redundant. There's no point having it. If you're just going to take information from elsewhere. You can learn by yourself all that sort of thing. But if you're in class and you're learning, say, this is AI, it's going to help you learn even more. You know what I mean. You're going to take the AI and let it assist you to understand something else rather than getting it to understand for you. Interviewer: Nice. Have you ever hesitated to ask for help using generative AI in class?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,30,"Yeah, I'd say a little bit back to what I said about learning more situations and sort of business environments where we would use the different AI machines. So what did we use? My brain's gone… It was a teachable machine. It was, Miro something else. All the different platforms that you might only use once you're within a business kind of thing, and we're only just sort of touching the subject of them. I'm not sure if I'm going to learn them more in other subjects, because it is only the introduction class. But yeah, I don't know just a little bit more business related or business sense detail about each one how to use them. Maybe a business situation where, like it was a group assignment, you're in a situation where you need to use Miro for something. Go and create a profile and use it. Interviewer: But have you maybe even hesitated to ask for help? How to use generative AI for your assessments or for your activities in class?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,31,"No, I would say definitely, not between the list of policies being so easy to access, and it being very simple to use between those 2 things. I don't think I've ever really had a doubt about how to use it, or when to use it. Interviewer: Okay, next, and already last question, if generative AI tools continue to be integrated into coursework, how do you think they should be used?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,32,"I think that goes back a little bit to my having like subjects, or I guess assignment specific AI uses. So in class, there is this AI piece that can help you with this… I mean grammarly, technically, yes, because it is like AI. If we use that for an example, it'll help you write better. It'll give you suggestions, all that sort of thing. But you still have to do the writing yourself first. Something like that. Interviewer: Are there any risks or concerns that you see?"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,33,"100%, going back to creating sort of an invalid reason to go to university or education in general, I think, AI is so good that it's bad, in my opinion. I know that sort of strong stance to take, but it does so much for us that we no longer have to do a lot for ourselves. So it's more about using it in a way that benefits us and not relying on it. That's what I'd say. Interviewer: Okay, great, nice. Thank you so much for answering all those questions. So one more thing. Do you think you still have? Maybe 10 min. […]"
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,34,Awesome. Thank you so much. Really. Great. Interviewer: Thank you.
student,31266,Autumn,Second,student,AUT-S02,AUT-S02,35,"Yeah, bye-bye. Interviewer: Have a great day bye, bye."
student,31269,Spring,First,student,AUT-S02,AUT-S02,1,"Interviewer: Just turn on the recording. I hope it's okay that I will do a voice recording of this session for data analysis purposes, but all your name will be anonymized, your name won't appear anywhere, it's just basically the data that we collect for some of the questions that we have prepared. That's all good with you?"
student,31269,Spring,First,student,SPR-S01,SPR-S01,2,"Yeah, no worries, that's awesome. Interviewer: Amazing. Alright, maybe just as a quick introduction, so you took the subject 31269, business requirements modelling, right?"
student,31269,Spring,First,student,SPR-S01,SPR-S01,3,"Yes. Interviewer: And, this subject, did this semester something different, and what was different is it, integrated AI into its curriculum in certain activities and also assignments, as you know by now. And, this research that we're conducting right now is part of the FFYE grant. It's, the first and further year experience grants from UTS, focusing on BIS subjects, for first-year students, and the study aim is to better understand how students engage with AI-integrated assessments, and how students develop evaluative judgment skills for learning and reflecting with those tools. And I've prepared a couple of questions. I will pop those questions into the chat, so you can also follow them in the chat. And, yeah, that's basically the scope of this interview."
student,31269,Spring,First,student,SPR-S01,SPR-S01,4,"Easy, awesome. Interviewer: Amazing. Then let's just start straight away. First question, I'm just copy and pasting the first question. The first question is, how did you use generative AI tools? For example, Copilot, ChatGPT, in the subject, 31269. Maybe you can just walk me through a specific example of how you used one of those tools, for an assignment or class activity."
student,31269,Spring,First,student,SPR-S01,SPR-S01,5,"Yeah, no worries. So, when it came to the class activities. A lot of them actually recommended us to use AI, and it was more used in this comparative framework, where it's, we'll use AI to do one portion of a task, and then we need to do it ourselves, and then we can compare for accuracies, inconsistencies, similarities, and differences. And I personally re… I thought that was great, because knowing, like, students and knowing myself with the power that AI has, it's going to be used no matter what. However, its effectiveness when being used, that is still very, very inconsistent. Sometimes it's great, sometimes it's not. I've noticed that generative AI is not very good at critically analyzing. If I'm to go back to when I did the HSC, anything that requires, like, strong critical thinking skills, AI is very weak at doing. But it's great at doing what I would call ground work, things that can be done… almost like just background information. So, another example that comes to mind is with the…with the case study that we were provided, it was great using AI almost as, like, a… a investigative journal, where it was… we could copy and paste the case study inside of, let's say, ChatGPT or Copilot, and then you can ask ChatGPT or Copilot to find certain things within it. That way, we're not doing that ground work, as I said, but we're letting AI doing it. We're kind of trying to streamline the process. So that was something that me, but also, like, my entire group used, and that's what allowed us to be a bit quicker when it came to getting classwork done. And that was similar with assignments, being able to implement, you know, submitting the assessment notification within ChatGPT or Copilot, and then asking, like, what is an appropriate distribution of this work? That way, everyone's doing their equal part, things like that. So, being able to… I think AI, using it for BRM, it was most effective when basically making it do all the ground work. Interviewer: Amazing answer, SPR-S01. Thank you so much for so much information. Really great. And maybe now looking also in your personal space, how often do you use generative AI tools, and for what purposes?"
